id,title,synopsis,genres,release_date,episodes,members,popularity,ranked,score,img_url,link
23273,Shigatsu wa Kimi no Uso,Music accompanies the path of the human metronome the prodigious pianist Kousei Arima. But after the passing of his mother Saki Arima Kousei falls into a downward spiral rendering him unable to hear the sound of his own piano. Two years later Kousei still avoids the piano leaving behind his admirers and rivals and lives a colorless life alongside his friends Tsubaki Sawabe and Ryouta Watari. However everything changes when he meets a beautiful violinist Kaori Miyazono who stirs up his world and sets him on a journey to face music again. Based on the manga series of the same name Shigatsu wa Kimi no Uso approaches the story of Kousei's recovery as he discovers that music is more than playing each note perfectly and a single melody can bring in the fresh spring air of April.,Drama;Music;Romance;School;Shounen,2014-10-10,22,995473,28,24,8.83,https://cdn.myanimelist.net/images/anime/3/67177.jpg,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
34599,Made in Abyss,The Abyss—a gaping chasm stretching down into the depths of the earth filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brave individuals known as Divers have sought to solve these mysteries of the Abyss fearlessly descending into its darkest realms. The best and bravest of the Divers the White Whistles are hailed as legends by those who remain on the surface. Riko daughter of the missing White Whistle Lyza the Annihilator aspires to become like her mother and explore the furthest reaches of the Abyss. However just a novice Red Whistle herself she is only permitted to roam its most upper layer. Even so Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However they know not of the harsh reality that is the true existence of the Abyss.,Sci-Fi;Adventure;Mystery;Drama;Fantasy,2017-07-07,13,581663,98,23,8.83,https://cdn.myanimelist.net/images/anime/6/86733.jpg,https://myanimelist.net/anime/34599/Made_in_Abyss
5114,Fullmetal Alchemist: Brotherhood,In order for something to be obtained something of equal value must be lost. Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called automail and become a state alchemist the Fullmetal Alchemist. Three years of searching later the brothers seek the Philosopher's Stone a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang Lieutenant Riza Hawkeye and Lieutenant Colonel Maes Hughes on their side the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone but their country's murky history as well. In between finding a serial killer and racing against time Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.,Action;Military;Adventure;Comedy;Drama;Magic;Fantasy;Shounen,2009-04-05,64,1615084,4,1,9.23,https://cdn.myanimelist.net/images/anime/1223/96541.jpg,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
31758,Kizumonogatari III: Reiketsu-hen,After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human but only once regaining her full power. Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However now that Araragi has almost accomplished what he’s been fighting for this whole time he has to consider if this is what he really wants. Once he revives this powerful immortal vampire there is no telling what she might do and there would be no way of stopping her. But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place? Araragi is at his limit but he must come to a decision and it may not be possible to resolve this situation without doing something he’ll regret…,Action;Mystery;Supernatural;Vampire,2017-01-06,1,214621,502,22,8.83,https://cdn.myanimelist.net/images/anime/3/81576.jpg,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
37510,Mob Psycho 100 II,Shigeo Mob Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens. While the workflow remains the same Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.,Action;Slice of Life;Comedy;Supernatural,2019-01-07,13,442310,176,21,8.89,https://cdn.myanimelist.net/images/anime/1918/96303.jpg,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
199,Sen to Chihiro no Kamikakushi,Stubborn spoiled and naïve 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside she realizes that there is more to this place than meets the eye as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped she must summon the courage to live and work amongst spirits with the help of the enigmatic Haku and the cast of unique characters she meets along the way. Vivid and intriguing Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.,Adventure;Supernatural;Drama,2001-07-20,1,913212,40,20,8.9,https://cdn.myanimelist.net/images/anime/6/79597.jpg,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
38000,Kimetsu no Yaiba,Ever since the death of his father the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain the Kamado family are able to enjoy a relatively peaceful and happy life. One day Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back night falls forcing Tanjirou to take shelter in the house of a strange man who warns him of the existence of flesh-eating demons that lurk in the woods at night. When he finally arrives back home the next day he is met with a horrifying sight—his whole family has been slaughtered. Worse still the sole survivor is his sister Nezuko who has been turned into a bloodthirsty demon. Consumed by rage and hatred Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.,Action;Demons;Historical;Shounen;Supernatural,2019-04-06,26,575037,106,19,8.92,https://cdn.myanimelist.net/images/anime/1286/99889.jpg,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
2904,Code Geass: Hangyaku no Lelouch R2,One year has passed since the Black Rebellion a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero who is now missing. At a loss without their revolutionary leader Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia which has increased significantly in order to crush any hope of a future revolt. Lelouch Lamperouge having lost all memory of his double life is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C. unable to accept this turn of events takes it upon herself to remind him of his past purpose hoping that the mastermind Zero will rise once again to finish what he started in this thrilling conclusion to the series.,Action;Military;Sci-Fi;Super Power;Drama;Mecha,2008-04-06,25,992196,27,17,8.93,https://cdn.myanimelist.net/images/anime/4/9391.jpg,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
918,Gintama,The Amanto aliens from outer space have invaded Earth and taken over feudal Japan. As a result a prohibition on swords has been established and the samurai of Japan are treated with disregard as a consequence. However one man Gintoki Sakata still possesses the heart of the samurai although from his love of sweets and work as a yorozuya one might not expect it. Accompanying him in his jack-of-all-trades line of work are Shinpachi Shimura a boy with glasses and a strong heart Kagura with her umbrella and seemingly bottomless stomach as well as Sadaharu their oversized pet dog. Of course these odd jobs are not always simple as they frequently have run-ins with the police ragtag rebels and assassins oftentimes leading to humorous but unfortunate consequences. Who said life as an errand boy was easy?,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,2006-04-04,201,579150,97,13,8.97,https://cdn.myanimelist.net/images/anime/10/73274.jpg,https://myanimelist.net/anime/918/Gintama
4181,Clannad: After Story,Clannad: After Story  the sequel to the critically acclaimed slice-of-life series Clannad  begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose they push forward to confront their personal problems deepen their old relationships and create new bonds. Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose. Based on the visual novel by Key and produced by Kyoto Animation Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.,Slice of Life;Comedy;Supernatural;Drama;Romance,2008-10-03,24,740101,64,12,8.97,https://cdn.myanimelist.net/images/anime/13/24647.jpg,https://myanimelist.net/anime/4181/Clannad__After_Story
